timestamp,wallet,whale_score,category,market,slug,condition_id,whale_entry_price,current_price,discount_pct,size,trade_value_usd,orderbook_depth_ratio,transaction_hash
2025-12-14T13:17:11.262264,0xa289b3324a891d5cab24c92adde4aba24989d95c,0.1,crypto,Will Austria join NATO by December 31?,will-austria-join-nato-by-december-31,0x7bf5ded954ead218fdef195a4ffd085ccec84ab7ac854c8855d8149fb5900362,0.994,0.994,0.0,1512.08,1503.0075199999999,5.0,0xfa1a4641970b488d4fb4d6df3c7579ff1fe52ad88e81f95fb8d74e041c1c2d02
2025-12-14T13:17:11.492135,0x3ab5ad27c676c4be1218397912eab5396e6de56f,0.1,elections,Will André Ventura win the 2026 Portugal presidential election?,will-andr-ventura-win-the-2026-portugal-presidential-election,0xbcb33ad98c8141b10f2350ef687eddf0660484ecc15be42ecdae64339e64dce1,0.9268643274696571,0.9268643274696571,0.0,1982.717366,1837.709998,5.0,0xc80580a1a15cc5a9d99d49c0047d0c72821fd368534ee8d3d53c0a4940e8e721
2025-12-14T13:17:41.876589,0x866de5b9c0947e79f371230395c1ce911487bf31,0.1,crypto,Thailand x Cambodia ceasefire by December 15?,thailand-x-cambodia-ceasefire-by-december-15,0x84e8587a41008dde14fd78245c8bc69405a393dac68f0bd8f68e8db95661711e,0.9755065567498248,0.9755065567498248,0.0,2049.181509,1998.989998,5.0,0xde5eaac9fbc5c722442de6302574b66d4222d9bd8ac6d49d3bba3acbd8a54f6e
